"2F (관찰놀이터/Discovery Zone) ""관찰, 세상을 보는 눈""",,,,,,,,,,,
ID,분류,전시형태,작동방식,제목,내용,세부 설명,비고 및 주의사항,상태,영문,사진1,사진2
관찰-1,"다이노터널
",체험,"터치 디스플레이
(신체활동)","다이노~
?",,,,정상,없음,,
,,,,누구의 알일까?,,-,,,,,
관찰-2,"??
",,,,,,,,,,
,,,,,,,,,,,
관찰-3,"빛이 부린 마법, 홀로그램
Floating Hologram",체험,"작동형
(신체활동)","빛이 부린 마법, 홀로그램
Muscular Strength",바닥의 모니터에서 나온 영상(빛)이 45도로 기울어진 스크린에 반사되어 입체적으로 보이는 것을 '플로팅 홀로그램'이라고 불러요.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,체험방법,"1. 그리고 싶은 동물을 선택하세요
2. 동물모양 안쪽을 색칠하여 완성하세요.
3. 그림을 스캐너 아래에 놓고 스캔버튼을 누르세요.
4. 테이블 위에 보여지는 동물의 움직임을 관찰해봐요",사용 후 제자리에 두세요.,"그림 종이는 한 장씩 사용해 주세요 
<참고> 배경 색칭은 인식의 어려움이 있습니다",,,,
관찰-4,"도전! 탐조생활
Check your jump power!",패널,텍스트,"겨울철새가 뭐예요?
What are winter birds?","늦가을부터 우리나라를 찾아와 겨울을 보내고 이른 봄에는 북쪽으로 가서 번식하는 새들을 말해요. 겨울 추위를 피하고 먹이를 구하기 위해 원래 살던 곳보다 따뜻한 남쪽인 우리 나라로 오는 거에요.
갈까마귀, 검은목고니, 검은목두루미, 떼까마귀, 말똥가리, 물수리, 큰밀화부리, 항라머리검독수리 등이 겨울철새예요.","망원경으로 겨울철새인 검은목두루미,큰밀화물리, 항라머리검독수리를 관찰할 수 있어요.",,,,,
,,체험,터치 디스플레이,체험방법,관찰하고 싶은 새를 선택하세요,흔들지 말고 화면만 살짝 터치해주세요.,,,,,
관찰-5,,패널,텍스트,"여름철새가 뭐예요?
What are summer birds?","이른 봄이 되면 우리나라에 찾아와 번식을 하고 여름이 지나면 따뜻한 남쪽으로 이동하는 새들을 말해요. 봄에 우리나라로 오는 이유는 둥지를 짓기 좋은 나무가 많고, 먹이가 풍부해서 새끼를 키우기 알맞기 때문이에요.
꾀꼬리, 소쩍새, 중대백로, 파랑새, 호반새 등이 여름철새예요.","망원경으로 여름철새인 꾀꼬리, 소쩍새 텃새인 어치를 관찰할 수 있어요.",,,,,
,,체험,터치 디스플레이,체험방법,바닥에 있는 디딤돌이나 평균대를 따라 균형을 잘 잡고 걸어보아요.,흔들지 말고 화면만 살짝 터치해주세요.,,,,,
관찰-6,,패널,텍스트,"텃새가 뭐예요?
What are resident birds?","계절에 따라 이동하지 않고 1년 내내 우리나라에서 살아가는 새들을 말해요. 까치, 꿩, 닭, 청딱따구리, 붉은머리오목눈이, 어치,큰부리까마귀 등이 텃새에요.","망원경으로
텃새인 청딱따구리와 여름철새인 파랑새.
호반새를 관찰할 수 있어요.",,,,,
,,패널,텍스트,"통과철새가 뭐예요?
What are migratory birds?
Take a breath","북쪽에서 남쪽으로 긴 이동을 하는 새들 중 봄과 가을에 우리나라를 잠시 들렀다 가는 새들을 말해요. 주로 강가나 바닷가에서 먹이를 찾는 알락꼬리마도요, 청다리도요 등이 통과철새예요.",,,,,,
,,체험,터치 디스플레이,"움직여요
Move","우리 몸을 이루는 근육에는 움직이거나 자세를 유지할 수 있게 하는 골격근, 심장을 이루는 심장근, 위 • 장 등 몸속 기관을 이루는 내장근이 있어요.
세 종류의 근육 중 우리 마음대로 움직일 수 있는 근육은 골격근뿐이에요.
신체 활동을 꾸준히 해야 심장근과 내장근도 튼튼하게 유지할 수 있어요.",흔들지 말고 화면만 살짝 터치해주세요.,,,,,
관찰-7,회전식 패널,패널,텍스트,"새 어떻게 관찰할까?
How do we observe birds?","새 어떻게 관찰할까?
How do we observe birds?
새를 통해 자연을 관찰하는 활동을 '탐조'라고 해요. 새는 예민하고 사람을 경계하기 때문에 새를 관찰할 때는 아래의 규칙을 꼭 지켜야해요.
1. 새가 놀라지 않도록 멀리 떨어져서 조용히 관찰해요.
2. 둥지나 번식지 주변 환경을 훼손하지 않아요.
3. 새 사진 촬영할 때는 새를 위협하지 않고 플래시를 끄고 찍어요.","탐조할 때 챙겨야 하는 준비물
새 도감: 관찰한 새가 어떤 새인지 확인해요.
쌍안경: 가까이 있는 서들을 관찰할 때 사용해요.
망원 렌즈와 카메라: 새들의 모습이나 구별이 어려운 새들을 카메라로 찍어 관찰한다. 
필기도구: 날짜, 장소, 관찰한 00 적어요.
복장: 화려한 옷이 아닌 초록색, 갈색처럼 주변 환경에 어울릴 수 있는 옷을 입어요.",,,,,
,,패널,텍스트,"새를 어떻게 알아볼까?
How do we necognize birds?","새를 어떻게 알아볼까?
How do we necognize birds?
우리나라에는 많은 새들이 살고 있어요. 새들은 비슷해 보이지만 크기, 부리와 발의 모양, 깃털색, 행동 등이 다 달라요. 다양한 새 관찰을 통해 어떤 새인지 알아보아요.","새의 깃털은 어떻게 생겼을까요?
새는 몸의 부위에 따라 다양한 깃털을 가지고 있어요. 새마다 깃털의 생김새와 색깔, 무늬가 달라서 새들을 구분할 수 있어요.
깃털 모양 ~~ 보완

새의 부리는 어떤 모양일까요?
새의 부리는 무엇을 먹는지, 어디에 사는지에 따라 크기와 모양이 달라요.
물고기를 먹는 새, ~~

새의 발은 어떤 모양일까요?
새의 발은 어디에 사는지, 어떻게 쓰는지에 따라 크기와 모양이 달라요.
발 종류 보완~~^^",,,,,
,,패널,텍스트,"철새는 왜?
철새는 어떻게?","철새는 왜 이동을 할까요?
Why do migratory birds move?
계절에 따라 이동하는 새들을 철새라고 해요.
우리나라는 사계절이 있어 다양한 철새를 볼 수 있어요. 철새는 좀 더 따뜻하고 먹이가 풍부한 곳을 찾기 위해 이동해요.

철새는 어떻게 길을 찾을까?
How do migratory Dirds find their way?
철새는 눈, 부리 등 감각기관을 이용해 길을 찾아요. 낮에는 태양의 위치를 보여 방향을 알아내거나 익숙한 산, 강을 따라가기도 해요.
밤에는 별을 보거나 지구의 자기장을 느껴 길을 찾아요. 이렇게 다양한 방법으로 길을 잃지 않고 이동해요.",,,,,,
,"쇼케이스 패널 - 새
(말똥가리 모형, 부위별 그림)",쇼케이스 패널,텍스트,"새는 어떻게 하늘을 날 수 있어요?
How can birds fly in the sky?","1. 머리가 작아요!
새는 머리 크기가 작아서 하늘을 날 때 공기의 저항을 덜 받아요. 머리뼈 사이에 빈 공간이 많아서 무게도 가볍답니다.

2. 몸통이 유선형이에요!
새의 몸은 공기와 마찰을 최소화하기
위해 앞부분은 곡선으로 둥글게, 뒤쪽으로 갈수록 날렵한 유선형 모양으로 생겼어요. 비행기의 모양도 이와 같은 원리로 만들어 졌답니다.

3. 몸이 가벼워요!
공기가 채워져 있는 '속이 빈 뼈'
새의 뼈는 속이 비어서 가벼워요. 갈비뼈는 작고 가슴뼈는 잘 발달하였으며 날개를 움직이는 근육이 붙어있는 용골돌기가 있어요.
뱃속을 가볍게 할 수 있는 '알'
새는 새끼를 뱃속에 품지 않고 알을 낳아 몸 밖에서 키워요. 알은 단단한 껍질로 싸여 있어서 건조한 육지에서도 잘 견딜 수 있지요.

4. 날개가 있어요!
공기를 타고 다닐 수 있는 '날개'
새는 날개와 연결된 튼튼한 가슴 근육으로 날개를 위로 들어 올렸다가 내리는 연속적인 동작으로 날 수 있어요.
온 몸을 덮고 있는 '깃털'
새의 날개 깃털은 중력을 거슬러 하늘을 나는데 도움을 주지요. 꼬리 깃털은 비행 시 균형을 잡고 방향을 조정하는 역할을 해요.","날 수 없는 새
A bird that cannot fly.
날개는 있지만 날지 못하는 새도 있어요. 보통 천적이 없는 곳에 살다 보니 날 수 있는 능력을 읽어 버렸기 때문이예요. 날지 못하는 새들은 날개 뼈가 작고 용골 돌기가 퇴화되었어요.

타조
타조는 지상에서 생활하기에 알맞게 다리가 발달했어요.
키위새
키위새는 포식자가 없고, 육지에 먹이가 풍부해 날개가 퇴화했어요.
펭귄
펭귄은 바다에 잠수하여 먹이를 구하 면서 날개가 작아졌어요.
닭
닭은 가축화가 되면서 점점 날 수 있는 능력을 잃게되었어요.",,,,,
,쇼케이스 패널 - 동물1,쇼케이스 패널,텍스트,"동물들이 왜 몸을 숨길까요?
Why do animals hide?","동물들이 왜 몸을 숨길까요?
Why do animals hide?
동물은 자신을 잡아먹는 천적에게 들키지 않고 살아남기 위해 위장을 해요. 반대로 먹이를 잡아먹으려고 자신을 숨기는 동물들도 있어요.
주변 환경과 비슷하게 몸의 색과 무늬를 바꿔서 적을 속이는 것을 '보호색'이라고 해요. 색뿐만 아니라 몸의 모양까지 주변 식물, 동물을 흉내 내서 자신을 숨기는
'의태'도 있어요. 태어날 때부터 보호색을 가진 동물도 있고 일부는 환경에 따라 몸의 색과 모양을 바꾸기도 해요. 그래서 위장한 생물들을 보고 서식지나 주변 환경을 알아내기도 한답니다.
동물들이 자연 속에서 어떻게 숨어 있는지 체험을 통해 찾아보세요.","고등어의 등은 왜 파랄까요?
Why do mackerels have blue backs?
고등어의 등을 보면 푸른색이고 배 쪽은 은백색을 띠고 있어요. 바닷물과 비슷한 푸른색 등과 물결처럼 보이는 줄무늬가 있어 물고기를 사냥하는 새들에게 들키지 않고 몸을 보호할 수 있어요.
그리고 바다 깊은 곳에서 올려다보면 바다는 햇빛 때문에 은백색으로 보여요. 이 색이 고등어 배의 색과 비슷해서 바다 속에 있는 큰 물고기들의 눈에 잘 띄지 않아요.

대기 오염과 나방 이야기
The story of air pollution and moths
19세기 이후 영국 런던에는 석탄 공장이 많이 세워지고 짙은 매연으로 많은 건물들과 식물들이 검게 변했어요.
천적들의 눈에 쉽게 보이게 된 밝은색 나방은 살아남기 위해 주변 환경과 비슷한 검은색으로 변하며 보호색을 가지게 되었어요.
시간이 지나고 오염이 줄어들면서 점차 밝은색 나방이 다시 많아지고 있다고 해요.",,,,,
,,체험,터치 디스플레이,발견! 숨은생물들,"숨은 친구를 찾아봐!
대벌레, 보완~~~~~",,,,,,
,"쇼케이스 패널 - 동물2
(이빨, 발자국, 똥 모형)",쇼케이스 패널,텍스트,"초식동물일까요?
육식동물일까요?
Is it a herbivore or a carnivore?","초식동물일까요? 육식동물일까요?
Is it a herbivore or a carnivore?
동물은 무엇을 주로 먹느냐에 따라 초식동물과 육식동물로 나뉘어요.

초식동물
초식동물은 풀과 열매와 같은 식물을 먹고 살아요. 풀을 뜯기에 적합한 이빨과 먹이를 잘게 잘라 영양분을 얻을 수 있는 긴 소화 기관을 가졌어요. 발톱은 둥글거나 뭉툭해요. (사슴 그림)

육식동물
육식동물은 다른 동물을 잡아 먹어요. 사냥하기 좋은 송곳니와 큰 입, 강한 턱을 가졌어요. 위산이 많이 분비 되어 먹이를 통째로 삼켜도 소화가 가능해요. 발톱은 뾰족 하고 날카로워요. (사자 그림)","초식동물과 육식동물의 이빨은 어떻게 다를까요?
What is the ditterence Derween the teeth of herbivores and carnivores?
초식동물
초식동물은 넓적한 앞니로 칼처럼 식물을 자르고 맷돌 같은 어금니로 먹이를 잘게 으깨서 먹어요.

육식동물
육식동물은 날카로운 송곳니와 갈고리 모양의 강한 발톱을 가지고 있어서, 사냥감을 잡으면 단번에 숨통을 끊고 고기를 찢어 먹을 수 있어요.

동물의 똥을 보고 무엇을 알 수 있을까요?
what can you tell from animal poop?
똥의 크기와 양을 보면 동물이 얼마나 큰지 추측할 수 있어요. 그리고 똥에 무엇이 들어 있는지를 살펴보면 동물이 무엇을 먹었는지도 알 수 있습니다. 소• 사슴• 토끼와 같은 초식 동물의 배설물은 동그랗고 풀이 남아 있어요. 야생 고양이나 여우 같은 육식동물의 배설물은 길고 뾰족하고 작은 동물의 털과 뼈가 발견되기도 해요.

누구의 발자국일까요?
Whose footprints are they?
많은 동물들이 암컷과 수컷이 만나기 위해 또는 경쟁자에게 영역을 표시하기 흔적을 남기는데 그 중 하나가 발자국이에요. 대부분 동물들은 앞발과 뒷발의 발자국 생김새가 달라요. 또한 발자국의 크기에 따라서 동물의 몸집도 예상할 수 있어요.",,,,,
,,체험,핸즈온,발자국 맞히기,"누가 농장을 엉망으로 만들었을까요?
농장을 망가뜨린 발자국 그림을 보고 어떤 동물인지 맞추어 보세요.",,,,,,
,"쇼케이스 패널 - 동물3
(양 뼈 모형)",패널,텍스트,"내 몸의 뼈와
양의 뼈는 어떻게 다를까요?
How are the bones of my body different from the bones of sheep?","내 몸의 뼈와 양의 뼈는 어떻게 다를까요?
How are the bones of my body different from the bones of sheep?
뼈는 우리의 몸을 지탱하고 있는 단단한 조직입니다.
우리 몸은 206개의 뼈로 구성되어 있지요. 뼈는 우리 몸을 지지하고 몸 안의 장기를 보호하며 근육이 움직일 수 있도록 지렛대 역할을 합니다.

아래의 양 뼈를 맞춰보고 우리 몸의 뼈와 비교 해볼까요?","네발 동물과 인간은 무엇이 다를까요?
What is the difference between four-legged animals and humans?
1. 걷는 법이 달라요!
포유 동물들은 주로 네 다리를 모두 이용해서 걷지만 인간은 두 다리만을 사용하여 등을 꼿꼿하게 세우고 걸어요.

2. 두개골이 달라요!
걷는 방법에 따라 두개골의 형태가 달라져요!
네발로 걷는 동물은 두개골에 연결되는 목뼈의 방향이 뒤쪽으로 45도 정도 기울어져 있어요. 반면 두 발로 걷는 인간은 목뼈의 방향이 두개골 바로 아래 수직으로 연결되어 있지요.

3. 척추뼈가 달라요!
척추의 S자형 곡선은 두 발로 서서 걷는 인간에게서 나타나는 특징이에요.",,,,,
,,체험,조립형 핸즈온,양 뼈 맞추기,,사용 후 제자리에 두세요.,,,,,
,건립 당시 발견한 화강암,모형,고정형 촉각 전시물,서울 땅속은 어떤 돌로 되어있을까요?,이 암석은 국립어린이과학관 건립을 위해 지하 터파기 공사를 하는 과정에서 나온 화강암으로 서울의 땅 속 지층과 산들은 대부분 이와 같은 화강암으로 이루어져 있습니다.,,,,,,
,"쇼케이스 패널 - 곤충
(곤충 모형)",패널,텍스트,"곤충에 대해 알아볼까요?
Let's learn about insects","곤충은 가장 먼저 하늘을 날게 된 생물로 다양한 곳에서 살고 있어요. 지구에서 알려진 동물들의 70%를 차지할 만큼 종류도 많고 다양해요. 곤충은 죽은 동물을 먹어 숲을 깨끗하게 하고 곤충의 배설물은 숲이 잘 자라게 해요. 또한, 식물의 꽃가루를 옮겨주어 식물이 잘 자랄 수 있게 해줘요.

전자확대경으로 초점을 맞춰 관찰해 보세요.","곤충은 감각을 어떻게 느낄까요?
How do insects feel their senses?

어떻게 들을까요: 배, 다리에 있는 고막이나 몸에 난 덜로 소리를 들어요.
어떻게 볼까요? 눈이 여러 개여서(예: 겹눈 2개, 홀눈 3개) 움직이는 물체를 잘 봐요.
어떻게 만질까요? 직접 더둠이를 갖다 대어 주변을 만져 방향을 알아내요
어떻게 냄새를 맡을까요? 더듬이를 이용해 공기 중의 냄새를 맡아요.
어떻게 맛을 알까요? 많은 곤충이 입 속의 털로, 일부는 발, 더듬이로 맛을 느껴요.",,,,,
,,체험,표본 관찰,곤충과 친해져요,"태블릿으로 곤충을 비춰보세요.
호랑나비, 말매미, 꿀벌을 관찰할 수 있어요.
~태블릿 시용은 조심조심~","태블릿으로 곤충을 비춰보세요.
어리부채잠자리, 장수풍뎅이(수컷), 사슴벌레(수컷)를 관찰할 수 있어요.
~태블릿 사용은 조심조심~",,좌측 작동 이상,,,
,쇼페이스 패널 - 식물,패널,텍스트,"식물이 뭐예요?
What are plants?","식물이 뭐예요?
What are plants?
우리 주변에는 굉장히 많은 식물들이 있어요. 식물은 동물들의 먹이가 되기도 하고, 산소를 만들어 우리가 숨을 쉴 수 있게 해주는 소중한 존재에요. 이러한 식물들은 살아가는 데 공기와 물, 양분을 필요로 합니다. 식물은 광합성을 통해 스스로 양분을 만들어내고 씨앗을 통해 자손을 만들어요.
식물은 다양한 모습을 가지고 있어요. 어떤 식물은 꽃을 피우고 열매를 맺습니다. 소나무와 같은 식물은 꽃이 없이 씨를 만들기도 한답니다.","식물이 살아가는데 무엇이 필요할까요?
식물은 어디에서 볼 수 있을까요?
식물도 아픔을 느낄까요?
식물은 왜 중요할까요?
모든 식물이 꽃을 피울까요?

줄기는 식물의 몸을 지탱하고, 뿌리 에서 흡수한 물과 양분을 잎으로 운반 하고, 잎에서 만든 양분을 다른 곳으로 운반해요.

잎은 광합성을 통해 양분을 만들어요. 또한 이산화탄소를 흡수하고 산소를 내보냅니다.

뿌리는 보통 땅 속에 있어요. 땅에서 물과 양분을 흡수해 줄기로 보내요.",,,,,
,,체험,터치 디스플레이,식물은 어떻게 쑥쑥자랄까?,표본 1개를 골라서 맞는 자리에 놓아보세요.,,,,,,
,쇼케이스 패널 - 암석,패널,텍스트,"암석이 순환해요
The Rock Cycle","암석이 순환해요
The Rock Cycle
암석은 만들어진 후 열과 압력, 풍화와 침식 등에 의해 다른 암석으로 변해요. 암석은 끊임없이 다른 암석으로 변하면서 순환합니다.
화성암: 마그마가 식어서 만들어졌어요! 땅 속 깊은 곳에서 천천히 식어 만들어지기도 하고, 화산 활동으로 땅 밖으로 나와 빠르게 식어서 만들어지기도 해요. 
변성암: 열과 압력 때문에 변신했어요!
암석이 열과 압력을 받아서 모습이 달라져요. 결정의 크기가 커지거나 암석이 눌리면서 줄무늬가 생기기도 해요.
퇴적암: 퇴적물들이 모여 굳어져 만들어졌어요!
강물이 흐르면서 깍아낸 암석 부스러기들이 물속에 쌓여, 오랜 시간 동안 다져지고 굳어져 만들어져요.

암석이란 무엇일까요?
what are rocks?
땅을 이루고 있는 단단한 물질이에요. 주로 광물들이 모여 암석이 됩니다.
암석은 만들어지는 방법에 따라 화성암, 퇴적암, 변성암으로 구분해요.
대표적인 암석들: 현무암(화성암)-마그마가 분출해 만들어졌어요. 외 15개

광물이란 무엇일까요?
What are minerals?
광물은 암석을 이루는 기본 물질이에요. 규칙적인 모양과 일정한 화학 성분을 가져요. 색과 광택이 아름다우면서 희소성이 있는 광물들을 보석이라고 부릅니다. 
탄생석: 1월 석류석 외 11개
",,,,,,
,,체험,터치 디스플레이,암석요리교실,터치하면 체험을 시작합니다.,,,,,,